date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-04-22,Virgin Islands,54,3,48,3,18.3358,-64.8963,,0.0
2020-04-22,Virginia,10266,349,1497,8420,37.7693,-78.17,,0.0
2020-04-22,Washington,12596,686,0,11910,47.4009,-121.4905,,0.0
2020-04-22,West Virginia,939,27,330,582,38.4912,-80.9545,,0.0
2020-04-22,Wisconsin,4845,248,0,4597,44.2685,-89.6165,,0.0
2020-04-22,Wyoming,447,6,254,187,42.756,-107.3025,,0.0
2020-04-22,Recovered,0,0,77366,-77366,,,,0.0
2020-04-17,Alabama,4571,148,0,4423,32.3182,-86.9023,,0.0
2020-04-17,Alaska,309,9,128,172,61.3707,-152.4044,,0.0
2020-04-17,American Samoa,0,0,0,0,-14.270999999999999,-170.132,,0.0
2020-04-17,Arizona,4511,169,539,3803,33.7298,-111.4312,,0.0
2020-04-17,Arkansas,1695,37,593,1065,34.9697,-92.3731,,0.0
2020-04-17,California,29157,1037,0,28120,36.1162,-119.6816,,0.0
2020-04-17,Colorado,8691,372,0,8319,39.0598,-105.3111,,0.0
2020-04-17,Connecticut,16809,1036,0,15773,41.5978,-72.7554,,0.0
2020-04-17,Delaware,2317,61,378,1878,39.3185,-75.5071,,0.0
2020-04-17,Diamond Princess,49,0,0,49,,,,0.0
2020-04-17,District of Columbia,2476,86,573,1817,38.8974,-77.0268,,0.0
2020-04-17,Florida,24759,725,0,24034,27.7663,-81.6868,,0.0
2020-04-17,Georgia,17194,650,0,16544,33.0406,-83.6431,,0.0
2020-04-17,Grand Princess,103,0,0,103,,,,0.0
2020-04-17,Guam,136,5,97,34,13.4443,144.7937,,0.0
2020-04-17,Hawaii,541,9,374,158,21.0943,-157.4983,,0.0
2020-04-17,Idaho,1609,41,390,1178,44.2405,-114.4788,,0.0
2020-04-17,Illinois,27578,1132,0,26446,40.3495,-88.9861,,0.0
2020-04-17,Indiana,10154,522,0,9632,39.8494,-86.2583,,0.0
2020-04-17,Iowa,2332,64,1007,1261,42.0115,-93.2105,,0.0
2020-04-17,Kansas,1730,82,0,1648,38.5266,-96.7265,,0.0
2020-04-17,Kentucky,2522,137,956,1429,37.6681,-84.6701,,0.0
2020-04-17,Louisiana,23118,1213,0,21905,31.1695,-91.8678,,0.0
2020-04-17,Maine,827,29,352,446,44.6939,-69.3819,,0.0
2020-04-17,Maryland,11572,334,736,10502,39.0639,-76.8021,,0.0
2020-04-17,Massachusetts,34402,1245,0,33157,42.2302,-71.5301,,0.0
2020-04-17,Michigan,30023,2227,629,27167,43.3266,-84.5361,,0.0
2020-04-17,Minnesota,2070,111,1066,893,45.6945,-93.9002,,0.0
2020-04-17,Mississippi,3793,140,0,3653,32.7416,-89.6787,,0.0
2020-04-17,Missouri,5371,184,0,5187,38.4561,-92.2884,,0.0
2020-04-17,Montana,422,8,233,181,46.9219,-110.4544,,0.0
2020-04-17,Nebraska,1066,24,0,1042,41.1254,-98.2681,,0.0
2020-04-17,Nevada,3524,142,0,3382,38.3135,-117.0554,,0.0
2020-04-17,New Hampshire,1287,37,455,795,43.4525,-71.5639,,0.0
2020-04-17,New Jersey,78467,3840,0,74627,40.2989,-74.521,,0.0
2020-04-17,New Mexico,1597,44,353,1200,34.8405,-106.2485,,0.0
2020-04-17,New York,230597,17131,23887,189579,42.1657,-74.9481,,0.0
2020-04-17,North Carolina,6045,177,0,5868,35.6301,-79.8064,,0.0
2020-04-17,North Dakota,393,9,172,212,47.5289,-99.78399999999999,,0.0
2020-04-17,Northern Mariana Islands,13,2,0,11,15.0979,145.6739,,0.0
2020-04-17,Ohio,9107,418,0,8689,40.3888,-82.7649,,0.0
2020-04-17,Oklahoma,2465,136,1331,998,35.5653,-96.9289,,0.0
2020-04-17,Oregon,1785,70,0,1715,44.571999999999996,-122.0709,,0.0
2020-04-17,Pennsylvania,29888,921,0,28967,40.5908,-77.2098,,0.0
2020-04-17,Puerto Rico,1068,58,0,1010,18.2208,-66.5901,,0.0
